Start Buffer: size=834
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt
Robot Data: [5, 10, 140, 2, 26, 18, 3400, 0, 110, 99]
Robot Data: [4, 11, 133, 2, 30, 18, 3680, 0, 112, 98]
Robot Data: [4, 13, 130, 2, 33, 18, 3960, 0, 118, 105]
Robot Data: [3, 16, 127, 2, 37, 18, 4240, 0, 120, 110]
Robot Data: [4, 18, 122, 1, 39, 18, 4520, 0, 124, 126]
Robot Data: [2, 25, 123, 1, 43, 18, 4800, 0, 126, 130]
Robot Data: [2, 29, 120, 1, 45, 18, 5080, 0, 131, 138]
Robot Data: [1, 44, 122, 0, 48, 18, 5360, 0, 136, 146]
Robot Data: [1, 59, 125, 0, 53, 18, 5640, 0, 139, 141]
Robot Data: [2, 78, 128, 1, 56, 18, 5920, 0, 145, 145]
Robot Data: [2, 47, 122, 1, 54, 18, 5640, 0, 139, 139]
Robot Data: [1, 8, 123, 1, 56, 18, 5360, 0, 117, 117]
Robot Data: [4, 2, 119, 1, 55, 18, 5080, 0, 102, 106]
Robot Data: [3, 3, 117, 1, 54, 18, 4800, 0, 88, 99]
Robot Data: [4, 2, 113, 1, 52, 18, 4520, 0, 80, 86]
Robot Data: [6, 4, 111, 3, 49, 18, 4240, 0, 76, 75]
Robot Data: [7, 3, 110, 6, 46, 18, 3960, 0, 74, 62]
Robot Data: [7, 3, 111, 6, 44, 18, 3680, 0, 59, 53]
Robot Data: [7, 4, 105, 7, 40, 18, 3400, 0, 59, 53]
Robot Data: [7, 5, 101, 8, 39, 18, 3120, 0, 41, 42]
Robot Data: [7, 6, 100, 9, 34, 18, 2840, 0, 43, 39]
Robot Data: [8, 7, 97, 8, 33, 18, 2560, 0, 24, 28]
Robot Data: [9, 9, 98, 10, 29, 34, 2280, 0, 18, 26]
Robot Data: [10, 10, 93, 9, 26, 34, 2000, 0, 13, 24]
Robot Data: [7, 12, 95, 8, 21, 34, 2000, 0, 35, 34]
Robot Data: [8, 12, 91, 10, 23, 34, 2000, 0, 30, 22]
Robot Data: [8, 15, 92, 10, 22, 34, 2000, 0, 32, 25]
Robot Data: [7, 16, 88, 11, 21, 34, 2000, 0, 31, 32]
Robot Data: [8, 20, 92, 12, 20, 34, 2000, 0, 34, 34]
Robot Data: [8, 23, 92, 13, 20, 34, 2000, 303, 29, 40]
Robot Data: [9, 25, 89, 13, 18, 34, 2000, 606, 25, 59]
Robot Data: [10, 27, 88, 13, 19, 34, 2000, 909, 19, 60]
Robot Data: [10, 27, 80, 13, 18, 34, 2000, 1212, 14, 74]
Robot Data: [11, 28, 79, 13, 18, 34, 2000, 1515, 7, 83]
Robot Data: [11, 26, 63, 14, 17, 34, 2000, 1818, 8, 92]
Robot Data: [15, 20, 48, 14, 19, 34, 2000, 2121, 0, 88]
Robot Data: [37, 14, 30, 11, 18, 34, 2000, 2424, 5, 92]
Robot Data: [77, 11, 21, 11, 19, 34, 2000, 2727, 4, 87]
Robot Data: [73, 5, 12, 10, 19, 34, 2000, 3030, 4, 88]
Robot Data: [72, 3, 13, 9, 20, 34, 2000, 3108, 3, 83]
Robot Data: [59, 3, 17, 8, 18, 34, 2000, 3108, 16, 85]
Robot Data: [46, 4, 16, 8, 19, 34, 2000, 3108, 20, 75]
Robot Data: [37, 5, 19, 8, 20, 34, 2000, 3108, 16, 73]
Robot Data: [24, 9, 35, 5, 20, 34, 2000, 3108, 18, 71]
Robot Data: [14, 4, 30, 6, 19, 34, 2000, 3108, 21, 75]
Robot Data: [6, 3, 28, 6, 20, 34, 2000, 3108, 16, 74]
Robot Data: [8, 3, 22, 21, 20, 34, 2000, 3108, 15, 76]
Robot Data: [2, 3, 17, 103, 20, 34, 2000, 3108, 13, 77]
Robot Data: [4, 4, 21, 125, 20, 34, 2000, 3108, 11, 79]
Robot Data: [4, 3, 98, 86, 20, 34, 2000, 3108, 13, 77]
Robot Data: [4, 8, 388, 59, 20, 34, 2000, 3108, 9, 81]
Robot Data: [6, 16, 376, 37, 20, 34, 2000, 2805, 18, 72]
Robot Data: [7, 25, 358, 16, 21, 34, 2000, 2502, 22, 60]
Robot Data: [7, 37, 301, 7, 20, 34, 2000, 2199, 38, 51]
Robot Data: [4, 52, 241, 4, 20, 34, 2000, 1896, 46, 43]
Robot Data: [4, 69, 203, 4, 19, 34, 2000, 1593, 58, 39]
Robot Data: [6, 82, 167, 7, 20, 34, 2000, 1290, 61, 29]
Robot Data: [5, 92, 147, 7, 19, 34, 2000, 987, 68, 30]
Robot Data: [5, 95, 132, 7, 20, 34, 2000, 684, 62, 29]
Robot Data: [6, 99, 127, 7, 19, 34, 2000, 381, 62, 37]
