Start Buffer: size=211
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt
Robot Data: [1, 96, 146, 1, 19, 0, 2000, 0, 51, 51]
Robot Data: [3, 96, 146, 1, 21, 0, 2000, 0, 44, 44]
Robot Data: [2, 96, 145, 1, 20, 0, 2000, 0, 47, 47]
Robot Data: [2, 98, 147, 1, 19, 0, 2000, 0, 53, 49]
Robot Data: [2, 96, 144, 1, 21, 0, 2000, 0, 46, 42]
Robot Data: [2, 98, 145, 1, 20, 0, 2000, 0, 51, 44]
Robot Data: [1, 97, 142, 1, 19, 0, 2000, 0, 53, 50]
Robot Data: [2, 97, 144, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [2, 97, 144, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [1, 96, 143, 1, 20, 0, 2000, 0, 46, 50]
Robot Data: [1, 98, 143, 2, 20, 0, 2000, 0, 48, 48]
Robot Data: [2, 98, 144, 1, 20, 0, 2000, 0, 50, 46]
Robot Data: [1, 97, 141, 1, 20, 0, 2000, 0, 49, 46]
Robot Data: [1, 97, 141, 1, 20, 0, 2000, 0, 49, 46]
Robot Data: [2, 97, 139, 0, 21, 0, 2000, 0, 46, 42]
Robot Data: [2, 96, 140, 1, 20, 0, 2000, 0, 47, 48]
Robot Data: [2, 96, 141, 1, 20, 0, 2000, 0, 47, 47]
Robot Data: [2, 97, 140, 1, 20, 0, 2000, 0, 49, 45]
Robot Data: [0, 97, 140, 1, 20, 0, 2000, 0, 49, 46]
Robot Data: [2, 97, 141, 1, 20, 0, 2000, 0, 49, 46]
Robot Data: [2, 97, 141, 0, 20, 0, 2000, 0, 49, 46]
Robot Data: [1, 96, 138, 0, 20, 0, 2000, 0, 45, 49]
Robot Data: [1, 98, 139, 2, 20, 0, 2000, 0, 46, 49]
Robot Data: [1, 96, 136, 1, 19, 0, 2000, 0, 51, 51]
Robot Data: [2, 96, 135, 1, 20, 0, 2000, 0, 50, 46]
Robot Data: [1, 97, 133, 1, 21, 0, 2000, 0, 46, 42]
Robot Data: [2, 97, 131, 1, 20, 0, 2000, 0, 49, 46]
Robot Data: [2, 92, 124, 1, 20, 0, 2000, 0, 47, 48]
Robot Data: [2, 91, 119, 1, 20, 0, 2000, 0, 47, 47]
Robot Data: [1, 87, 118, 2, 20, 0, 2000, 0, 47, 47]
Robot Data: [2, 90, 122, 1, 20, 0, 2000, 0, 47, 47]
Robot Data: [1, 91, 123, 1, 20, 0, 2000, 0, 47, 47]
Robot Data: [2, 93, 125, 1, 20, 0, 2000, 0, 47, 47]
Robot Data: [3, 93, 123, 2, 20, 0, 2000, 0, 49, 45]
Robot Data: [2, 95, 125, 1, 20, 0, 2000, 0, 49, 46]
Robot Data: [2, 96, 125, 1, 19, 0, 2000, 0, 51, 51]
Robot Data: [2, 97, 125, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [3, 96, 126, 1, 20, 0, 2000, 0, 50, 46]
Robot Data: [4, 96, 124, 1, 20, 0, 2000, 0, 49, 46]
Robot Data: [2, 95, 123, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [2, 96, 125, 2, 21, 0, 2000, 0, 44, 44]
Robot Data: [1, 97, 124, 1, 19, 0, 2000, 0, 49, 53]
Robot Data: [3, 98, 124, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [1, 97, 121, 2, 20, 0, 2000, 0, 50, 46]
Robot Data: [2, 98, 118, 1, 20, 0, 2000, 0, 49, 46]
Robot Data: [3, 98, 118, 2, 20, 0, 2000, 0, 51, 44]
Robot Data: [3, 101, 120, 2, 20, 0, 2000, 0, 49, 46]
Robot Data: [2, 97, 118, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [3, 99, 123, 2, 20, 0, 2000, 0, 50, 46]
Robot Data: [3, 98, 119, 2, 20, 0, 2000, 0, 49, 46]
Robot Data: [2, 100, 120, 1, 20, 0, 2000, 0, 49, 46]
Robot Data: [2, 101, 123, 2, 20, 0, 2000, 0, 48, 48]
Robot Data: [4, 96, 119, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [1, 98, 120, 2, 20, 0, 2000, 0, 46, 50]
Robot Data: [2, 98, 123, 2, 20, 0, 2000, 0, 48, 48]
Robot Data: [3, 99, 119, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [4, 100, 118, 3, 20, 0, 2000, 0, 50, 46]
Robot Data: [4, 101, 119, 2, 20, 0, 2000, 0, 49, 46]
Robot Data: [2, 100, 117, 2, 20, 0, 2000, 0, 48, 48]
Robot Data: [1, 101, 117, 2, 20, 0, 2000, 0, 48, 48]
Robot Data: [3, 100, 116, 2, 21, 0, 2000, 0, 44, 44]
Robot Data: [3, 102, 115, 2, 20, 0, 2000, 0, 47, 47]
Robot Data: [4, 103, 115, 2, 20, 0, 2000, 0, 47, 47]
Robot Data: [1, 101, 114, 3, 20, 0, 2000, 0, 47, 47]
Robot Data: [3, 103, 112, 2, 20, 0, 2000, 0, 47, 47]
Robot Data: [4, 105, 112, 2, 19, 0, 2000, 0, 53, 49]
Robot Data: [2, 107, 111, 3, 20, 0, 2000, 0, 48, 48]
Robot Data: [3, 105, 110, 3, 20, 0, 2000, 0, 50, 46]
Robot Data: [3, 106, 109, 0, 20, 0, 2000, 0, 49, 46]
Robot Data: [3, 105, 109, 3, 20, 0, 2000, 0, 51, 44]
Robot Data: [3, 106, 108, 2, 20, 0, 2000, 0, 51, 44]
Robot Data: [3, 106, 109, 3, 21, 0, 2000, 0, 43, 44]
Robot Data: [3, 106, 107, 3, 20, 0, 2000, 0, 47, 47]
Robot Data: [3, 107, 109, 3, 20, 0, 2000, 0, 47, 47]
Robot Data: [4, 103, 108, 3, 20, 0, 2000, 0, 45, 49]
Robot Data: [5, 106, 109, 2, 20, 0, 2000, 0, 46, 49]
Robot Data: [3, 105, 105, 3, 20, 0, 2000, 0, 46, 49]
Robot Data: [4, 103, 102, 3, 20, 0, 2000, 0, 48, 47]
Robot Data: [5, 105, 98, 3, 19, 0, 2000, 0, 53, 49]
Robot Data: [3, 110, 102, 3, 20, 0, 2000, 0, 51, 44]
Robot Data: [6, 117, 105, 3, 20, 0, 2000, 0, 51, 44]
Robot Data: [4, 120, 107, 3, 20, 0, 2000, 0, 49, 46]
Robot Data: [2, 118, 106, 4, 20, 0, 2000, 0, 48, 48]
Robot Data: [2, 117, 109, 4, 20, 0, 2000, 0, 50, 46]
Robot Data: [4, 120, 110, 3, 20, 0, 2000, 0, 48, 48]
Robot Data: [4, 122, 111, 3, 20, 0, 2000, 0, 46, 50]
Robot Data: [4, 123, 111, 4, 20, 0, 2000, 0, 46, 49]
Robot Data: [4, 123, 110, 4, 20, 0, 2000, 0, 48, 48]
Robot Data: [3, 125, 110, 4, 20, 0, 2000, 0, 46, 50]
Robot Data: [3, 125, 108, 5, 20, 0, 2000, 0, 48, 48]
Robot Data: [4, 127, 109, 3, 20, 0, 2000, 0, 50, 46]
Robot Data: [5, 130, 109, 4, 20, 0, 2000, 0, 48, 48]
Robot Data: [4, 129, 108, 5, 20, 0, 2000, 0, 48, 48]
Robot Data: [5, 132, 108, 5, 20, 0, 2000, 0, 50, 46]
Robot Data: [4, 133, 104, 5, 20, 0, 2000, 0, 49, 46]
Robot Data: [4, 133, 102, 5, 20, 0, 2000, 0, 49, 46]
Robot Data: [5, 133, 100, 6, 20, 0, 2000, 0, 51, 44]
Robot Data: [3, 134, 101, 4, 20, 0, 2000, 0, 49, 46]
Robot Data: [4, 134, 102, 5, 20, 0, 2000, 0, 48, 48]
Robot Data: [5, 133, 100, 5, 20, 0, 2000, 0, 48, 48]
Robot Data: [3, 136, 104, 5, 20, 0, 2000, 0, 46, 50]
Robot Data: [4, 132, 102, 6, 20, 0, 2000, 0, 48, 48]
Robot Data: [5, 134, 102, 5, 21, 0, 2000, 0, 44, 44]
Robot Data: [7, 135, 101, 6, 20, 0, 2000, 0, 47, 47]
Robot Data: [5, 135, 101, 6, 20, 0, 2000, 0, 47, 47]
Robot Data: [5, 135, 99, 7, 20, 0, 2000, 0, 49, 45]
Robot Data: [4, 138, 100, 7, 19, 0, 2000, 0, 51, 51]
Robot Data: [6, 136, 98, 7, 20, 0, 2000, 0, 50, 46]
Robot Data: [5, 139, 97, 7, 20, 0, 2000, 0, 49, 46]
Robot Data: [6, 140, 98, 7, 20, 0, 2000, 0, 49, 46]
Robot Data: [6, 138, 97, 6, 20, 0, 2000, 0, 49, 46]
Robot Data: [7, 136, 97, 8, 20, 0, 2000, 0, 49, 46]
Robot Data: [7, 136, 99, 8, 21, 0, 2000, 0, 46, 42]
Robot Data: [7, 133, 97, 7, 20, 0, 2000, 0, 45, 49]
Robot Data: [6, 135, 99, 7, 20, 0, 2000, 0, 46, 49]
Robot Data: [7, 133, 97, 8, 20, 0, 2000, 0, 46, 49]
Robot Data: [5, 133, 97, 9, 20, 0, 2000, 0, 46, 49]
Robot Data: [8, 135, 97, 9, 20, 0, 2000, 0, 46, 49]
Robot Data: [8, 137, 97, 9, 20, 0, 2000, 0, 48, 47]
Robot Data: [8, 136, 93, 9, 20, 0, 2000, 0, 47, 47]
Robot Data: [9, 136, 93, 10, 19, 0, 2000, 0, 53, 49]
Robot Data: [8, 138, 91, 10, 20, 0, 2000, 0, 49, 46]
Robot Data: [9, 138, 88, 11, 20, 0, 2000, 0, 49, 46]
Robot Data: [9, 139, 87, 12, 20, 0, 1720, 0, 32, 33]
Robot Data: [9, 140, 88, 12, 19, 0, 1440, 0, 23, 15]
Robot Data: [8, 137, 84, 13, 16, 0, 1160, 0, 14, 12]
Robot Data: [9, 137, 85, 13, 14, 0, 880, 0, 2, 3]
Robot Data: [10, 138, 84, 14, 13, 0, 600, 0, 8, 8]
Robot Data: [11, 136, 88, 13, 15, 0, 100, 0, 18, 11]
End Buffer
