Front Left,Left Angle,Right Angle,Front Right,edgeLeftFast,edgeLeftSlow,edgeRightFast,edgeRightSlow,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Cross Track Error,Steering Correction,loopTick,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y,time_s,Speed_mm_s
1,28,169,1,57,48,170,167,12,0,1400,0,63,67,0,0,4561,2,0,12,2.1340390099680002,248.9712178296,0.0,2.268,2.412,0,0,0.0,0.0
1,32,166,0,48,46,169,167,20,0,1960,0,76,72,0,0,4563,1,1,32,5.690770693248,348.55970496144,0.0,2.7359999999999998,2.5919999999999996,0,0,0.02,177.836584164
1,34,163,0,45,45,168,167,14,0,2000,0,78,71,0,0,4564,1,1,46,8.180482871544,355.673168328,0.0,2.808,2.5559999999999996,0,0,0.03,248.97121782959996
1,36,161,0,43,44,167,167,18,0,2000,0,66,59,0,0,4565,1,1,64,11.381541386496,355.673168328,0.0,2.376,2.1239999999999997,0,0,0.04,320.1058514952
0,40,159,0,42,44,165,167,19,0,2000,0,67,52,0,0,4566,0,0,83,14.760436485612,355.673168328,0.0,2.412,1.8719999999999999,0,0,0.05,337.8895099116
2,47,160,1,43,44,164,167,20,0,2000,0,59,53,0,0,4567,3,1,103,18.317168168892,355.673168328,0.0,2.1239999999999997,1.908,0,0,0.06,355.6731683280001
0,52,158,0,45,45,163,166,20,0,2000,0,58,55,0,0,4568,0,0,123,21.873899852172,355.673168328,0.0,2.0879999999999996,1.9799999999999998,0,0,0.07,355.6731683279996
1,60,164,1,48,46,163,166,19,0,2000,0,60,60,0,0,4569,2,0,142,25.252794951288,355.673168328,0.0,2.1599999999999997,2.1599999999999997,0,0,0.08,337.8895099116002
1,67,163,0,52,47,163,166,20,0,2000,0,55,59,0,0,4570,1,1,162,28.809526634568,355.673168328,0.0,1.9799999999999998,2.1239999999999997,0,0,0.09,355.67316832800043
0,70,161,0,56,48,163,166,21,0,2000,0,51,54,0,0,4571,0,0,183,32.544094902012,355.673168328,0.0,1.8359999999999999,1.944,0,0,0.1,373.4568267443994
3,74,160,0,60,50,162,166,21,0,2000,0,51,54,0,0,4572,3,3,204,36.278663169456,355.673168328,0.0,1.8359999999999999,1.944,0,0,0.11,373.4568267444006
2,74,158,1,63,52,161,166,21,0,2000,0,50,53,0,0,4573,3,1,225,40.0132314369,355.673168328,0.0,1.7999999999999998,1.908,0,0,0.12,373.4568267443999
