Front Left,Left Angle,Right Angle,Front Right,edgeLeftFast,edgeLeftSlow,edgeRightFast,edgeRightSlow,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Cross Track Error,Steering Correction,loopTick,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y,time_s,Speed_mm_s
37,96,10,31,118,148,11,27,20,2,2000,0,45,53,0,0,1606,68,6,20,3.55673168328,355.673168328,0.0,1.6199999999999999,1.908,0,2,0.0,0.0
38,98,10,35,114,145,11,26,20,3,2000,0,50,48,0,0,1607,73,3,40,7.11346336656,355.673168328,0.0,1.7999999999999998,1.7279999999999998,0,3,0.01,355.673168328
38,101,12,35,111,142,11,25,20,3,2000,0,53,45,0,0,1608,73,3,60,10.67019504984,355.673168328,0.0,1.908,1.6199999999999999,0,3,0.02,355.67316832800003
42,104,13,38,110,140,11,24,20,3,2000,0,52,46,0,0,1609,80,4,80,14.22692673312,355.673168328,0.0,1.8719999999999999,1.656,0,3,0.03,355.6731683279999
42,109,14,40,110,138,12,23,20,3,2000,0,54,44,0,0,1610,82,2,100,17.7836584164,355.673168328,0.0,1.944,1.5839999999999999,0,3,0.04,355.6731683280002
43,108,13,42,110,136,12,22,20,3,2000,0,54,44,0,0,1611,85,1,120,21.34039009968,355.673168328,0.0,1.944,1.5839999999999999,0,3,0.05,355.6731683279998
45,109,15,43,110,134,13,22,20,3,2000,0,52,46,0,0,1612,88,2,140,24.89712178296,355.673168328,0.0,1.8719999999999999,1.656,0,3,0.06,355.6731683280001
50,109,16,47,110,132,14,22,20,3,2000,0,50,48,0,0,1613,97,3,160,28.45385346624,355.673168328,0.0,1.7999999999999998,1.7279999999999998,0,3,0.07,355.6731683279996
52,107,17,49,109,130,15,22,19,3,2000,0,53,53,0,0,1614,101,3,179,31.832748565356,355.673168328,0.0,1.908,1.908,0,3,0.08,337.8895099116002
53,105,19,53,108,128,16,22,21,3,2000,0,42,49,0,0,1615,106,0,200,35.5673168328,355.673168328,0.0,1.5119999999999998,1.7639999999999998,0,3,0.09,373.4568267444006
56,104,22,55,107,127,17,22,20,3,2000,-303,51,47,0,0,1616,111,1,220,39.12404851608,355.673168328,-41.164714285671,1.8359999999999999,1.692,0,3,0.1,355.6731683279996
59,106,21,58,107,126,18,22,20,3,2000,-606,60,37,0,0,1617,117,1,240,42.68078019936,355.673168328,-82.329428571342,2.1599999999999997,1.3319999999999999,0,3,0.11,355.6731683280001
60,107,25,60,107,125,19,22,20,3,2000,-909,72,25,0,0,1618,120,0,260,46.23751188264,355.673168328,-123.49414285701302,2.5919999999999996,0.8999999999999999,0,3,0.12,355.6731683280001
65,103,26,63,106,124,20,22,19,3,2000,-1212,88,17,0,0,1619,128,2,279,49.616406981756,355.673168328,-164.658857142684,3.1679999999999997,0.612,0,3,0.13,337.88950991159976
67,101,26,65,105,123,21,22,20,3,2000,-1515,93,6,0,0,1620,132,2,299,53.173138665036,355.673168328,-205.82357142835502,3.348,0.21599999999999997,0,3,0.14,355.6731683279996
71,93,25,65,103,121,22,22,21,3,2000,-1818,95,4,0,0,1621,136,6,320,56.90770693248,355.673168328,-246.98828571402603,3.42,0.144,0,3,0.15,373.4568267444004
80,80,23,62,98,118,22,22,19,3,2000,-2121,105,0,0,0,1622,142,18,339,60.286602031596,355.673168328,-288.15299999969704,3.78,0.0,0,3,0.16,337.88950991159976
97,68,17,59,92,115,21,22,20,3,2000,-2424,99,0,0,0,1623,156,38,359,63.843333714876,355.673168328,-329.317714285368,3.5639999999999996,0.0,0,3,0.17,355.67316832800026
117,79,13,55,89,113,19,21,20,3,2000,-2727,97,2,0,0,1624,172,62,379,67.400065398156,355.673168328,-370.482428571039,3.4919999999999995,0.072,0,3,0.18,355.67316832800054
127,82,6,47,88,111,16,20,19,3,2000,-3030,100,7,0,0,1625,174,80,398,70.778960497272,355.673168328,-411.64714285671005,3.5999999999999996,0.252,0,3,0.19,337.8895099115991
125,86,4,41,88,109,14,19,20,3,2000,-3108,89,11,0,0,1626,166,84,418,74.335692180552,355.673168328,-422.243999999556,3.2039999999999997,0.39599999999999996,0,3,0.2,355.67316832800026
122,104,0,38,91,109,11,18,20,3,2000,-3108,88,12,0,0,1627,160,84,438,77.892423863832,355.673168328,-422.243999999556,3.1679999999999997,0.43199999999999994,0,3,0.21,355.67316832799986
121,125,1,34,98,110,9,17,20,3,2000,-3108,81,19,0,0,1628,155,87,458,81.449155547112,355.673168328,-422.243999999556,2.916,0.6839999999999999,0,3,0.22,355.67316832800026
121,148,3,28,108,112,8,16,20,3,2000,-3108,80,20,0,0,1629,149,93,478,85.005887230392,355.673168328,-422.243999999556,2.88,0.72,0,3,0.23,355.67316832800026
121,170,5,22,120,116,7,15,21,3,2000,-3108,78,14,0,0,1630,143,99,499,88.740455497836,355.673168328,-422.243999999556,2.808,0.504,0,3,0.24,373.4568267443997
118,202,5,17,136,121,7,14,21,3,2000,-3108,79,12,0,0,1631,135,101,520,92.47502376528,355.673168328,-422.243999999556,2.844,0.43199999999999994,0,3,0.25,373.4568267444001
110,244,6,13,158,129,7,14,20,3,2000,-3108,82,15,0,0,1632,123,97,540,96.03175544856,355.673168328,-422.243999999556,2.952,0.5399999999999999,0,3,0.26,355.67316832800026
99,282,5,8,183,139,7,13,20,3,2000,-3108,82,15,0,0,1633,107,91,560,99.58848713184,355.673168328,-422.243999999556,2.952,0.5399999999999999,0,3,0.27,355.67316832799884
92,268,4,6,200,147,6,12,20,3,2000,-3108,82,15,0,0,1634,98,86,580,103.14521881512,355.673168328,-422.243999999556,2.952,0.5399999999999999,0,3,0.28,355.67316832800026
76,232,2,2,206,152,5,11,20,3,2000,-3108,86,11,0,0,1635,78,74,600,106.7019504984,355.673168328,-422.243999999556,3.0959999999999996,0.39599999999999996,0,3,0.29,355.6731683280008
66,212,2,1,207,156,4,10,20,3,2000,-3108,88,10,0,0,1636,67,65,620,110.25868218168,355.673168328,-422.243999999556,3.1679999999999997,0.36,0,3,0.3,355.67316832800026
53,182,6,1,202,158,4,10,20,3,2000,-3108,87,10,0,0,1637,54,52,640,113.81541386496,355.673168328,-422.243999999556,3.1319999999999997,0.36,0,3,0.31,355.67316832799884
37,143,16,3,190,157,6,10,21,3,2000,-2805,75,15,0,0,1638,40,34,661,117.549982132404,355.673168328,-381.07928571388504,2.6999999999999997,0.5399999999999999,0,3,0.32,373.4568267444001
24,145,33,3,181,156,11,11,20,3,2000,-2502,70,26,0,0,1639,27,21,681,121.106713815684,355.673168328,-339.91457142821406,2.52,0.9359999999999999,0,3,0.33,355.67316832800026
13,130,59,4,171,154,21,14,20,3,2000,-2199,56,41,0,0,1640,17,9,701,124.663445498964,355.673168328,-298.749857142543,2.016,1.476,0,3,0.34,355.67316832799884
7,110,92,4,159,151,35,19,21,3,2000,-1896,45,44,0,0,1641,11,3,722,128.398013766408,355.673168328,-257.58514285687204,1.6199999999999999,1.5839999999999999,0,3,0.35,373.4568267444036
3,94,123,4,146,147,53,26,20,3,2000,-1593,40,56,0,0,1642,7,-1,742,131.954745449688,355.673168328,-216.42042857120103,1.44,2.016,0,3,0.36,355.67316832799884
2,83,151,4,133,143,73,34,19,3,2000,-1290,35,68,0,0,1643,6,-2,761,135.333640548804,355.673168328,-175.25571428553002,1.26,2.448,0,3,0.37,337.8895099115991
1,73,174,4,121,139,93,43,19,3,2000,-987,37,67,0,0,1644,5,-3,780,138.71253564792,355.673168328,-134.090999999859,1.3319999999999999,2.412,0,3,0.38,337.8895099115991
1,71,187,4,111,135,112,52,21,3,2000,-684,30,60,0,0,1645,5,-3,801,142.447103915364,355.673168328,-92.92628571418801,1.0799999999999998,2.1599999999999997,0,3,0.39,373.4568267444015
4,67,193,3,102,131,128,61,20,3,2000,-381,35,62,0,0,1646,7,1,821,146.003835598644,355.673168328,-51.761571428517,1.26,2.2319999999999998,0,3,0.4,355.67316832799884
2,66,192,4,95,127,141,69,20,3,2000,-78,35,62,0,0,1647,6,-2,841,149.560567281924,355.673168328,-10.596857142846002,1.26,2.2319999999999998,0,3,0.41,355.6731683280008
3,71,188,5,90,124,150,76,20,3,2000,0,41,56,0,0,1648,8,-2,861,153.117298965204,355.673168328,0.0,1.476,2.016,0,3,0.42,355.67316832799884
2,73,179,5,87,121,156,82,20,19,2280,0,53,66,106,3,1649,7,-3,881,156.674030648484,405.46741189392,0.0,1.908,2.376,1,3,0.43,355.6731683280017
