Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Cross Track Error,Steering Correction,loopTick,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y,time_s,Speed_mm_s
1,109,94,3,13,0,1400,0,62,60,0,0,7467,4,-2,13,2.311875594132,248.9712178296,0.0,2.2319999999999998,2.1599999999999997,0,0,0.0,0.0
3,103,93,2,20,0,1960,0,76,77,0,0,7469,5,1,33,5.868607277412,348.55970496144,0.0,2.7359999999999998,2.772,0,0,0.02,177.836584164
3,104,96,1,15,0,2240,0,79,83,0,0,7470,4,2,48,8.536156039872001,398.35394852736,0.0,2.844,2.988,0,0,0.03,266.75487624600015
2,104,98,2,18,0,2520,0,85,92,0,0,7471,4,0,66,11.737214554824,448.14819209328,0.0,3.0599999999999996,3.312,0,0,0.04,320.10585149519983
1,101,97,1,21,0,2800,0,95,97,0,0,7472,2,0,87,15.471782822268,497.9424356592,0.0,3.42,3.4919999999999995,0,0,0.05,373.45682674439996
2,104,97,1,26,0,3080,0,90,94,0,0,7473,3,1,113,20.095534010532,547.73667922512,0.0,3.2399999999999998,3.384,0,0,0.06,462.37511882640007
1,101,101,1,32,0,3360,0,92,80,0,0,7474,2,0,145,25.78630470378,597.53092279104,0.0,3.312,2.88,0,0,0.07,569.0770693247997
3,96,106,1,27,0,3640,0,130,113,0,0,7475,4,2,172,30.587892476208,647.32516635696,0.0,4.68,4.068,0,0,0.08,480.1587772428003
1,92,109,1,31,0,3920,0,131,122,0,0,7476,2,0,203,36.100826585292,697.11940992288,0.0,4.715999999999999,4.3919999999999995,0,0,0.09,551.2934109083999
1,96,120,1,34,0,4200,0,132,137,0,0,7477,2,0,237,42.147270446868,746.9136534888,0.0,4.752,4.9319999999999995,0,0,0.1,604.6443861575997
2,94,131,1,39,0,4480,0,127,134,0,0,7478,3,1,276,49.082897229264,796.70789705472,0.0,4.572,4.824,0,0,0.11,693.5626782396004
2,89,141,2,44,0,4760,0,130,129,0,0,7479,4,0,320,56.90770693248,846.50214062064,0.0,4.68,4.643999999999999,0,0,0.12,782.4809703216001
3,84,148,2,46,0,5040,0,144,133,0,0,7480,5,1,366,65.088189804024,896.29638418656,0.0,5.183999999999999,4.787999999999999,0,0,0.13,818.0482871543994
2,80,156,2,46,0,5320,0,159,153,0,0,7481,4,0,412,73.268672675568,946.09062775248,0.0,5.723999999999999,5.508,0,0,0.14,818.0482871543994
1,79,165,2,50,0,5600,0,159,160,0,0,7482,3,-1,462,82.160501883768,995.8848713184,0.0,5.723999999999999,5.76,0,0,0.15,889.1829208200024
2,76,175,2,55,0,5880,0,151,159,0,0,7483,4,0,517,91.941514012788,1045.67911488432,0.0,5.436,5.723999999999999,0,0,0.16,978.101212901999
1,72,180,2,57,0,6160,0,159,170,0,0,7484,3,-1,574,102.078199310136,1095.47335845024,0.0,5.723999999999999,6.119999999999999,0,0,0.17,1013.6685297347987
1,66,183,2,59,0,6440,0,171,177,0,0,7485,3,-1,633,112.570557775812,1145.26760201616,0.0,6.156,6.372,0,0,0.18,1049.2358465676025
2,60,197,1,63,0,6720,0,173,180,0,0,7486,3,1,696,123.774262578144,1195.06184558208,0.0,6.228,6.4799999999999995,0,0,0.19,1120.3704802331988
3,56,204,2,64,0,7000,0,181,199,148,4,7487,5,1,760,135.15580396464,1244.856089148,0.0,6.515999999999999,7.164,0,0,0.2,1138.1541386495987
3,55,214,2,67,0,7280,0,177,210,159,4,7488,5,1,827,147.070855103628,1294.65033271392,0.0,6.372,7.56,0,0,0.21,1191.5051138988013
2,52,221,3,71,0,7000,0,152,186,169,5,7489,5,-1,898,159.697252579272,1244.856089148,0.0,5.4719999999999995,6.696,0,0,0.22,1262.6397475644
4,51,229,2,74,0,6720,0,131,152,178,5,7490,6,2,972,172.857159807408,1195.06184558208,0.0,4.715999999999999,5.4719999999999995,0,0,0.23,1315.9907228135994
4,49,229,2,69,0,6440,0,132,152,180,5,7491,6,2,1041,185.127884114724,1145.26760201616,0.0,4.752,5.4719999999999995,0,0,0.24,1227.0724307316011
6,50,230,2,67,0,6160,0,124,140,180,5,7492,8,4,1108,197.042935253712,1095.47335845024,0.0,4.4639999999999995,5.04,0,0,0.25,1191.505113898798
8,56,226,4,67,0,5880,0,107,119,170,5,7493,12,4,1175,208.9579863927,1045.67911488432,0.0,3.852,4.284,0,0,0.26,1191.5051138988008
13,52,222,6,64,0,5600,0,100,117,170,5,7494,19,7,1239,220.339527779196,995.8848713184,0.0,3.5999999999999996,4.212,0,0,0.27,1138.1541386495987
15,54,210,7,61,0,5320,0,99,101,156,4,7495,22,8,1300,231.1875594132,946.09062775248,0.0,3.5639999999999996,3.6359999999999997,0,0,0.28,1084.8031634003992
16,57,187,11,59,0,5040,0,94,82,130,3,7496,27,5,1359,241.679917878876,896.29638418656,0.0,3.384,2.952,0,0,0.29,1049.2358465676054
18,60,36,11,58,0,4760,0,81,63,80,2,7497,29,7,1417,251.994439760388,846.50214062064,0.0,2.916,2.268,0,0,0.3,1031.4521881511969
19,59,3,15,52,0,4480,0,80,67,82,2,7498,34,4,1469,261.241942136916,796.70789705472,0.0,2.88,2.412,0,0,0.31,924.750237652801
25,59,4,18,50,0,4200,0,72,59,-1,-1,7499,43,7,1519,270.133771345116,746.9136534888,0.0,2.5919999999999996,2.1239999999999997,0,0,0.32,889.1829208199957
25,60,5,20,47,0,3920,0,64,51,-1,-1,7500,45,5,1566,278.492090800824,697.11940992288,0.0,2.304,1.8359999999999999,0,0,0.33,835.8319455707991
30,62,6,24,44,0,3640,0,50,48,-1,-1,7501,54,6,1610,286.31690050404,647.32516635696,0.0,1.7999999999999998,1.7279999999999998,0,0,0.34,782.4809703216026
33,62,4,28,40,0,3360,0,45,45,-1,-1,7502,61,5,1650,293.4303638706,597.53092279104,0.0,1.6199999999999999,1.6199999999999999,0,0,0.35,711.3463366560017
35,60,5,30,37,0,3080,0,36,39,-1,-1,7503,65,5,1687,300.010317484668,547.73667922512,0.0,1.2959999999999998,1.404,0,0,0.36,657.9953614068012
38,56,5,32,33,0,2800,0,38,37,-1,-1,7504,70,6,1720,305.87892476208,497.9424356592,0.0,1.3679999999999999,1.3319999999999999,0,0,0.37,586.8607277411962
42,57,6,35,30,0,2520,0,35,27,-1,-1,7505,77,7,1750,311.214022287,448.14819209328,0.0,1.26,0.972,0,0,0.38,533.5097524919997
48,58,5,39,28,0,2240,0,28,14,-1,-1,7506,87,9,1778,316.193446643592,398.35394852736,0.0,1.008,0.504,0,0,0.39,497.9424356592001
53,56,4,43,25,0,2000,0,21,16,-1,-1,7507,96,10,1803,320.639361247692,355.673168328,0.0,0.7559999999999999,0.576,0,0,0.4,444.59146041000355
57,57,7,47,21,0,2000,0,31,32,-1,-1,7508,104,10,1824,324.373929515136,355.673168328,0.0,1.1159999999999999,1.152,0,0,0.41,373.45682674440076
60,57,7,49,21,0,2000,0,29,33,-1,-1,7509,109,11,1845,328.10849778258,355.673168328,0.0,1.0439999999999998,1.188,0,0,0.42,373.45682674439865
65,56,6,54,21,2,2000,0,24,36,0,0,7510,119,11,1866,331.843066050024,355.673168328,0.0,0.8639999999999999,1.2959999999999998,0,2,0.43,373.45682674439865
70,57,6,56,19,2,2000,-303,42,33,0,0,7511,126,14,1885,335.22196114914,355.673168328,-41.164714285671,1.5119999999999998,1.188,0,2,0.44,337.8895099115991
72,59,7,59,18,2,2000,-606,57,27,0,0,7512,131,13,1903,338.423019664092,355.673168328,-82.329428571342,2.052,0.972,0,2,0.45,320.1058514952021
77,59,6,63,19,2,2000,-909,66,12,0,0,7513,140,14,1922,341.801914763208,355.673168328,-123.49414285701302,2.376,0.43199999999999994,0,2,0.46,337.8895099115991
81,57,5,64,18,2,2000,-1212,76,10,0,0,7514,145,17,1940,345.00297327816,355.673168328,-164.658857142684,2.7359999999999998,0.36,0,2,0.47,320.10585149520386
91,53,6,64,17,2,2000,-1515,92,5,0,0,7515,155,27,1957,348.026195208948,355.673168328,-205.82357142835502,3.312,0.18,0,2,0.48,302.32219307879944
103,62,8,61,18,2,2000,-1818,92,1,0,0,7516,164,42,1975,351.2272537239,355.673168328,-246.98828571402603,3.312,0.036,0,2,0.49,320.1058514951964
122,69,8,54,17,2,2000,-2121,96,6,0,0,7517,176,68,1992,354.250475654688,355.673168328,-288.15299999969704,3.4559999999999995,0.21599999999999997,0,2,0.5,302.32219307879944
140,65,10,44,18,2,2000,-2424,88,10,0,0,7518,184,96,2010,357.45153416964,355.673168328,-329.317714285368,3.1679999999999997,0.36,0,2,0.51,320.1058514952021
143,76,11,21,18,2,2000,-2727,90,10,0,0,7519,164,122,2028,360.652592684592,355.673168328,-370.482428571039,3.2399999999999998,0.36,0,2,0.52,320.1058514951964
130,96,8,6,19,2,2000,-3030,87,7,0,0,7520,136,124,2047,364.031487783708,355.673168328,-411.64714285671005,3.1319999999999997,0.252,0,2,0.53,337.8895099115991
127,114,3,4,19,2,2000,-3108,88,8,0,0,7521,131,123,2066,367.410382882824,355.673168328,-422.243999999556,3.1679999999999997,0.288,0,2,0.54,337.88950991160476
130,135,2,5,19,2,2000,-3108,87,10,0,0,7522,135,125,2085,370.78927798194,355.673168328,-422.243999999556,3.1319999999999997,0.36,0,2,0.55,337.8895099115991
127,159,0,4,19,2,2000,-3108,80,18,0,0,7523,131,123,2104,374.168173081056,355.673168328,-422.243999999556,2.88,0.6479999999999999,0,2,0.56,337.8895099115991
127,186,1,4,20,2,2000,-3108,76,16,0,0,7524,131,123,2124,377.724904764336,355.673168328,-422.243999999556,2.7359999999999998,0.576,0,2,0.57,355.673168328
123,218,2,5,20,2,2000,-3108,76,15,0,0,7525,128,118,2144,381.281636447616,355.673168328,-422.243999999556,2.7359999999999998,0.5399999999999999,0,2,0.58,355.6731683280017
118,278,1,6,20,2,2000,-3108,80,11,0,0,7526,124,112,2164,384.838368130896,355.673168328,-422.243999999556,2.88,0.39599999999999996,0,2,0.59,355.6731683280017
108,326,2,8,20,2,2000,-3108,77,14,0,0,7527,116,100,2184,388.395099814176,355.673168328,-422.243999999556,2.772,0.504,0,2,0.6,355.673168327996
95,303,0,7,20,2,2000,-3108,76,16,0,0,7528,102,88,2204,391.951831497456,355.673168328,-422.243999999556,2.7359999999999998,0.576,0,2,0.61,355.6731683280017
25,249,2,3,20,2,2000,-3108,78,13,0,0,7529,28,22,2224,395.508563180736,355.673168328,-422.243999999556,2.808,0.46799999999999997,0,2,0.62,355.6731683280017
8,197,5,3,20,2,2000,-3108,77,14,0,0,7530,11,5,2244,399.065294864016,355.673168328,-422.243999999556,2.772,0.504,0,2,0.63,355.673168327996
8,152,8,2,20,2,2000,-3108,79,12,0,0,7531,10,6,2264,402.622026547296,355.673168328,-422.243999999556,2.844,0.43199999999999994,0,2,0.64,355.6731683280017
11,17,15,2,20,2,2000,-3108,81,10,0,0,7532,13,9,2284,406.178758230576,355.673168328,-422.243999999556,2.916,0.36,0,2,0.65,355.6731683280017
14,8,27,2,19,2,2000,-2805,79,20,0,0,7533,16,12,2303,409.557653329692,355.673168328,-381.07928571388504,2.844,0.72,0,2,0.66,337.8895099115991
17,7,50,2,20,2,2000,-2502,65,28,0,0,7534,19,15,2323,413.114385012972,355.673168328,-339.91457142821406,2.34,1.008,0,2,0.67,355.673168327996
16,7,79,2,21,2,2000,-2199,52,32,0,0,7535,18,14,2344,416.848953280416,355.673168328,-298.749857142543,1.8719999999999999,1.152,0,2,0.68,373.45682674440434
7,6,114,2,20,2,2000,-1896,49,42,0,0,7536,9,5,2364,420.405684963696,355.673168328,-257.58514285687204,1.7639999999999998,1.5119999999999998,0,2,0.69,355.673168328
4,6,148,2,19,2,2000,-1593,43,56,0,0,7537,6,2,2383,423.784580062812,355.673168328,-216.42042857120103,1.5479999999999998,2.016,0,2,0.7,337.8895099115991
3,7,178,3,20,2,2000,-1290,31,61,0,0,7538,6,0,2403,427.341311746092,355.673168328,-175.25571428553002,1.1159999999999999,2.1959999999999997,0,2,0.71,355.6731683280017
1,7,199,2,19,2,2000,-987,37,63,0,0,7539,3,-1,2422,430.720206845208,355.673168328,-134.090999999859,1.3319999999999999,2.268,0,2,0.72,337.8895099115991
1,7,215,1,21,2,2000,-684,30,56,0,0,7540,2,0,2443,434.454775112652,355.673168328,-92.92628571418801,1.0799999999999998,2.016,0,2,0.73,373.45682674439865
3,9,220,3,19,2,2000,-381,40,60,0,0,7541,6,0,2462,437.833670211768,355.673168328,-51.761571428517,1.44,2.1599999999999997,0,2,0.74,337.8895099115991
2,11,225,2,20,2,2000,-78,37,57,0,0,7542,4,0,2482,441.390401895048,355.673168328,-10.596857142846002,1.3319999999999999,2.052,0,2,0.75,355.6731683280017
2,10,219,2,21,2,2000,0,37,49,0,0,7543,4,0,2503,445.124970162492,355.673168328,0.0,1.3319999999999999,1.7639999999999998,0,2,0.76,373.45682674439865
2,11,214,2,19,2,2000,0,49,51,0,0,7544,4,0,2522,448.503865261608,355.673168328,0.0,1.7639999999999998,1.8359999999999999,0,2,0.77,337.8895099115991
3,12,208,1,20,18,2280,0,49,68,216,7,7545,4,2,2542,452.060596944888,405.46741189392,0.0,1.7639999999999998,2.448,1,2,0.78,355.6731683280017
3,11,199,2,22,18,2560,0,53,81,198,5,7546,5,1,2564,455.973001796496,455.26165545984,0.0,1.908,2.916,1,2,0.79,391.2404851608013
2,12,188,3,22,18,2840,0,70,97,176,5,7547,5,-1,2586,459.885406648104,505.05589902576,0.0,2.52,3.4919999999999995,1,2,0.8,391.24048516079563
3,11,176,3,24,18,3120,0,89,100,152,4,7548,6,0,2610,464.15348466804,554.85014259168,0.0,3.2039999999999997,3.5999999999999996,1,2,0.81,426.8078019936009
4,13,166,2,27,18,3400,0,101,103,132,3,7549,6,2,2637,468.955072440468,604.6443861576,0.0,3.6359999999999997,3.7079999999999997,1,2,0.82,480.1587772428028
5,11,150,3,30,18,3680,0,114,98,100,2,7550,8,2,2667,474.290169965388,654.43862972352,0.0,4.104,3.5279999999999996,1,2,0.83,533.5097524919997
5,14,142,3,33,18,3960,0,123,102,84,2,7551,8,2,2700,480.1587772428,704.23287328944,0.0,4.428,3.6719999999999997,1,2,0.84,586.8607277412019
3,13,131,3,36,18,4240,0,132,108,62,1,7552,6,0,2736,486.560894272704,754.02711685536,0.0,4.752,3.888,1,2,0.85,640.2117029903985
3,18,125,2,39,18,4520,0,137,117,50,1,7553,5,1,2775,493.4965210551,803.82136042128,0.0,4.9319999999999995,4.212,1,2,0.86,693.5626782396008
3,21,125,2,42,18,4800,0,136,132,50,1,7554,5,1,2817,500.965657589988,853.6156039872,0.0,4.896,4.752,1,2,0.87,746.9136534887973
3,25,120,1,45,18,5080,0,132,141,40,1,7555,4,2,2862,508.968303877368,903.40984755312,0.0,4.752,5.076,1,2,0.88,800.2646287379996
1,39,126,1,49,18,5360,0,134,145,52,1,7556,2,0,2911,517.682296501404,953.20409111904,0.0,4.824,5.22,1,2,0.89,871.3992624036044
1,55,130,1,52,18,5640,0,142,148,75,2,7557,2,0,2963,526.929798877932,1002.99833468496,0.0,5.111999999999999,5.327999999999999,1,2,0.9,924.7502376527897
2,74,133,1,55,18,5920,0,152,151,59,1,7558,3,1,3018,536.710811006952,1052.79257825088,0.0,5.4719999999999995,5.436,1,2,0.91,978.1012129020032
1,40,141,1,54,18,5640,0,138,146,82,2,7559,2,0,3072,546.3139865518081,1002.99833468496,0.0,4.968,5.255999999999999,1,2,0.92,960.3175544856063
0,8,138,2,56,18,5360,0,111,129,76,2,7560,2,-2,3128,556.272835264992,953.20409111904,0.0,3.9959999999999996,4.643999999999999,1,2,0.93,995.8848713183888
3,3,134,0,56,18,5080,0,91,115,68,2,7561,3,3,3184,566.231683978176,903.40984755312,0.0,3.276,4.14,1,2,0.94,995.8848713184112
1,2,131,1,53,18,4800,0,92,108,62,1,7562,2,0,3237,575.657022938868,853.6156039872,0.0,3.312,3.888,1,2,0.95,942.533896069198
2,4,129,1,51,18,4520,0,85,94,58,1,7563,3,1,3288,584.726688731232,803.82136042128,0.0,3.0599999999999996,3.384,1,2,0.96,906.9665792364041
4,3,120,3,49,18,4240,0,81,76,40,1,7564,7,1,3337,593.440681355268,754.02711685536,0.0,2.916,2.7359999999999998,1,2,0.97,871.3992624035988
7,4,118,7,46,18,3960,0,77,66,36,1,7565,14,0,3383,601.621164226812,704.23287328944,0.0,2.772,2.376,1,2,0.98,818.0482871543966
7,4,116,7,45,18,3680,0,63,49,32,0,7566,14,0,3428,609.623810514192,654.43862972352,0.0,2.268,1.7639999999999998,1,2,0.99,800.2646287379996
6,4,110,7,41,18,3400,0,58,52,20,0,7567,13,-1,3469,616.915110464916,604.6443861576,0.0,2.0879999999999996,1.8719999999999999,1,2,1.0,729.1299950724003
7,5,102,8,39,18,3120,0,43,44,4,0,7568,15,-1,3508,623.850737247312,554.85014259168,0.0,1.5479999999999998,1.5839999999999999,1,2,1.01,693.5626782396065
6,4,98,7,37,18,2840,0,33,30,-4,-1,7569,13,-1,3545,630.43069086138,505.05589902576,0.0,1.188,1.0799999999999998,1,2,1.02,657.9953614067898
7,7,97,9,33,18,2560,0,30,23,-6,-1,7570,16,-2,3578,636.299298138792,455.26165545984,0.0,1.0799999999999998,0.828,1,2,1.03,586.8607277412019
11,6,99,10,27,34,2280,0,32,29,0,0,7571,21,1,3605,641.10088591122,405.46741189392,0.0,1.152,1.0439999999999998,2,2,1.04,480.15877724279744
6,8,93,9,26,34,2000,0,18,22,0,0,7572,15,-3,3631,645.724637099484,355.673168328,0.0,0.6479999999999999,0.7919999999999999,2,2,1.05,462.3751188264005
8,9,93,9,23,34,2000,0,31,26,0,0,7573,17,-1,3654,649.814878535256,355.673168328,0.0,1.1159999999999999,0.9359999999999999,2,2,1.06,409.0241435771983
9,10,97,9,21,34,2000,0,34,35,0,0,7574,18,0,3675,653.5494468027,355.673168328,0.0,1.224,1.26,2,2,1.07,373.45682674440434
7,13,93,10,21,34,2000,0,34,34,0,0,7575,17,-3,3696,657.284015070144,355.673168328,0.0,1.224,1.224,2,2,1.08,373.45682674440434
