Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
60,59,5,57,21,2,2000,0,26,30,117,3,1869,332.376575802516,355.673168328,0.0,0.9359999999999999,1.0799999999999998,0,2
63,61,5,62,19,2,2000,-303,38,34,125,1,1888,335.755470901632,355.673168328,-41.164714285671,1.3679999999999999,1.224,0,2
64,60,5,63,18,2,2000,-606,55,25,127,1,1906,338.956529416584,355.673168328,-82.329428571342,1.9799999999999998,0.8999999999999999,0,2
67,60,7,66,18,2,2000,-909,66,16,133,1,1924,342.157587931536,355.673168328,-123.49414285701302,2.376,0.576,0,2
72,60,8,68,19,2,2000,-1212,72,5,140,4,1943,345.536483030652,355.673168328,-164.658857142684,2.5919999999999996,0.18,0,2
78,57,7,67,17,2,2000,-1515,86,7,145,11,1960,348.55970496144,355.673168328,-205.82357142835502,3.0959999999999996,0.252,0,2
91,55,6,64,18,2,2000,-1818,87,2,155,27,1978,351.760763476392,355.673168328,-246.98828571402603,3.1319999999999997,0.072,0,2
109,63,9,59,18,2,2000,-2121,89,2,168,50,1996,354.961821991344,355.673168328,-288.15299999969704,3.2039999999999997,0.072,0,2
133,64,10,47,17,2,2000,-2424,92,9,180,86,2013,357.985043922132,355.673168328,-329.317714285368,3.312,0.32399999999999995,0,2
143,69,10,30,18,2,2000,-2727,90,7,173,113,2031,361.186102437084,355.673168328,-370.482428571039,3.2399999999999998,0.252,0,2
132,86,8,7,18,2,2000,-3030,89,10,139,125,2049,364.387160952036,355.673168328,-411.64714285671005,3.2039999999999997,0.36,0,2
125,105,4,4,19,2,2000,-3108,87,6,129,121,2068,367.766056051152,355.673168328,-422.243999999556,3.1319999999999997,0.21599999999999997,0,2
124,125,3,4,19,2,2000,-3108,84,11,128,120,2087,371.144951150268,355.673168328,-422.243999999556,3.0239999999999996,0.39599999999999996,0,2
128,148,2,4,19,2,2000,-3108,79,17,132,124,2106,374.523846249384,355.673168328,-422.243999999556,2.844,0.612,0,2
124,177,2,4,20,2,2000,-3108,71,18,128,120,2126,378.080577932664,355.673168328,-422.243999999556,2.5559999999999996,0.6479999999999999,0,2
124,204,3,5,21,2,2000,-3108,69,12,129,119,2147,381.815146200108,355.673168328,-422.243999999556,2.484,0.43199999999999994,0,2
119,250,0,5,20,2,2000,-3108,72,15,124,114,2167,385.371877883388,355.673168328,-422.243999999556,2.5919999999999996,0.5399999999999999,0,2
111,303,3,8,19,2,2000,-3108,78,17,119,103,2186,388.750772982504,355.673168328,-422.243999999556,2.808,0.612,0,2
96,314,1,8,20,2,2000,-3108,77,12,104,88,2206,392.307504665784,355.673168328,-422.243999999556,2.772,0.43199999999999994,0,2
46,270,2,5,20,2,2000,-3108,78,11,51,41,2226,395.864236349064,355.673168328,-422.243999999556,2.808,0.39599999999999996,0,2
10,225,3,3,20,2,2000,-3108,76,13,13,7,2246,399.420968032344,355.673168328,-422.243999999556,2.7359999999999998,0.46799999999999997,0,2
7,166,5,2,19,2,2000,-3108,82,15,9,5,2265,402.79986313146,355.673168328,-422.243999999556,2.952,0.5399999999999999,0,2
9,28,11,2,20,2,2000,-3108,79,11,11,7,2285,406.35659481474,355.673168328,-422.243999999556,2.844,0.39599999999999996,0,2
13,8,22,1,21,2,2000,-2805,70,12,14,12,2306,410.091163082184,355.673168328,-381.07928571388504,2.52,0.43199999999999994,0,2
13,6,40,2,20,2,2000,-2502,65,24,15,11,2326,413.647894765464,355.673168328,-339.91457142821406,2.34,0.8639999999999999,0,2
17,5,65,0,19,2,2000,-2199,58,39,17,17,2345,417.02678986458,355.673168328,-298.749857142543,2.0879999999999996,1.404,0,2
10,5,98,2,21,2,2000,-1896,41,41,12,8,2366,420.761358132024,355.673168328,-257.58514285687204,1.476,1.476,0,2
4,6,136,2,20,2,2000,-1593,40,48,6,2,2386,424.318089815304,355.673168328,-216.42042857120103,1.44,1.7279999999999998,0,2
3,6,162,2,19,2,2000,-1290,35,62,5,1,2405,427.69698491442,355.673168328,-175.25571428553002,1.26,2.2319999999999998,0,2
1,6,183,2,20,2,2000,-987,29,61,3,-1,2425,431.2537165977,355.673168328,-134.090999999859,1.0439999999999998,2.1959999999999997,0,2
2,10,200,2,20,2,2000,-684,28,62,4,0,2445,434.81044828098,355.673168328,-92.92628571418801,1.008,2.2319999999999998,0,2
3,11,206,2,20,2,2000,-381,30,60,5,1,2465,438.36717996426,355.673168328,-51.761571428517,1.0799999999999998,2.1599999999999997,0,2
2,8,201,2,20,2,2000,-78,34,56,4,0,2485,441.92391164754,355.673168328,-10.596857142846002,1.224,2.016,0,2
4,9,199,2,20,2,2000,0,41,49,6,2,2505,445.48064333082,355.673168328,0.0,1.476,1.7639999999999998,0,2
2,9,192,1,20,2,2000,0,44,46,3,1,2525,449.0373750141,355.673168328,0.0,1.5839999999999999,1.656,0,2
3,9,179,3,20,18,2000,0,39,51,6,0,2545,452.59410669738,355.673168328,0.0,1.404,1.8359999999999999,1,2
3,10,172,3,20,18,2280,0,51,61,6,0,2565,456.15083838066,405.46741189392,0.0,1.8359999999999999,2.1959999999999997,1,2
5,9,163,2,21,18,2560,0,64,74,7,3,2586,459.885406648104,455.26165545984,0.0,2.304,2.6639999999999997,1,2
6,10,157,3,22,18,2840,0,83,82,9,3,2608,463.797811499712,505.05589902576,0.0,2.988,2.952,1,2
4,10,148,2,25,18,3120,0,94,86,6,2,2633,468.243726103812,554.85014259168,0.0,3.384,3.0959999999999996,1,2
5,10,140,2,26,18,3400,0,110,99,7,3,2659,472.867477292076,604.6443861576,0.0,3.9599999999999995,3.5639999999999996,1,2
4,11,133,2,30,18,3680,0,112,98,6,2,2689,478.202574816996,654.43862972352,0.0,4.032,3.5279999999999996,1,2
4,13,130,2,33,18,3960,0,118,105,6,2,2722,484.071182094408,704.23287328944,0.0,4.247999999999999,3.78,1,2
3,16,127,2,37,18,4240,0,120,110,5,1,2759,490.651135708476,754.02711685536,0.0,4.319999999999999,3.9599999999999995,1,2
4,18,122,1,39,18,4520,0,124,126,5,3,2798,497.586762490872,803.82136042128,0.0,4.4639999999999995,4.536,1,2
2,25,123,1,43,18,4800,0,126,130,3,1,2841,505.233735609924,853.6156039872,0.0,4.536,4.68,1,2
2,29,120,1,45,18,5080,0,131,138,3,1,2886,513.236381897304,903.40984755312,0.0,4.715999999999999,4.968,1,2
1,44,122,0,48,18,5360,0,136,146,1,1,2934,521.772537937176,953.20409111904,0.0,4.896,5.255999999999999,1,2
1,59,125,0,53,18,5640,0,139,141,1,1,2987,531.197876897868,1002.99833468496,0.0,5.004,5.076,1,2
2,78,128,1,56,18,5920,0,145,145,3,1,3043,541.156725611052,1052.79257825088,0.0,5.22,5.22,1,2
2,47,122,1,54,18,5640,0,139,139,3,1,3097,550.759901155908,1002.99833468496,0.0,5.004,5.004,1,2
1,8,123,1,56,18,5360,0,117,117,2,0,3153,560.718749869092,953.20409111904,0.0,4.212,4.212,1,2
4,2,119,1,55,18,5080,0,102,106,5,3,3208,570.499761998112,903.40984755312,0.0,3.6719999999999997,3.816,1,2
3,3,117,1,54,18,4800,0,88,99,4,2,3262,580.102937542968,853.6156039872,0.0,3.1679999999999997,3.5639999999999996,1,2
4,2,113,1,52,18,4520,0,80,86,5,3,3314,589.350439919496,803.82136042128,0.0,2.88,3.0959999999999996,1,2
6,4,111,3,49,18,4240,0,76,75,9,3,3363,598.064432543532,754.02711685536,0.0,2.7359999999999998,2.6999999999999997,1,2
7,3,110,6,46,18,3960,0,74,62,13,1,3409,606.244915415076,704.23287328944,0.0,2.6639999999999997,2.2319999999999998,1,2
7,3,111,6,44,18,3680,0,59,53,13,1,3453,614.069725118292,654.43862972352,0.0,2.1239999999999997,1.908,1,2
7,4,105,7,40,18,3400,0,59,53,14,0,3493,621.183188484852,604.6443861576,0.0,2.1239999999999997,1.908,1,2
7,5,101,8,39,18,3120,0,41,42,15,-1,3532,628.118815267248,554.85014259168,0.0,1.476,1.5119999999999998,1,2
7,6,100,9,34,18,2840,0,43,39,16,-2,3566,634.165259128824,505.05589902576,0.0,1.5479999999999998,1.404,1,2
8,7,97,8,33,18,2560,0,24,28,16,0,3599,640.033866406236,455.26165545984,0.0,0.8639999999999999,1.008,1,2
9,9,98,10,29,34,2280,0,18,26,19,-1,3628,645.191127346992,405.46741189392,0.0,0.6479999999999999,0.9359999999999999,2,2
10,10,93,9,26,34,2000,0,13,24,19,1,3654,649.814878535256,355.673168328,0.0,0.46799999999999997,0.8639999999999999,2,2
7,12,95,8,21,34,2000,0,35,34,15,-1,3675,653.5494468027,355.673168328,0.0,1.26,1.224,2,2
8,12,91,10,23,34,2000,0,30,22,18,-2,3698,657.639688238472,355.673168328,0.0,1.0799999999999998,0.7919999999999999,2,2
8,15,92,10,22,34,2000,0,32,25,18,-2,3720,661.55209309008,355.673168328,0.0,1.152,0.8999999999999999,2,2
7,16,88,11,21,34,2000,0,31,32,18,-4,3741,665.286661357524,355.673168328,0.0,1.1159999999999999,1.152,2,2
8,20,92,12,20,34,2000,0,34,34,20,-4,3761,668.843393040804,355.673168328,0.0,1.224,1.224,2,2
8,23,92,13,20,34,2000,303,29,40,21,-5,3781,672.400124724084,355.673168328,41.164714285671,1.0439999999999998,1.44,2,2
