Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
81,17,58,120,21,36,2300,2121,14,96,201,-39,5703,1014.202039487292,409.0241435772,288.15299999969704,0.504,3.4559999999999995,2,4
77,13,83,125,21,36,2300,2424,12,100,202,-48,5724,1017.936607754736,409.0241435772,329.317714285368,0.43199999999999994,3.5999999999999996,2,4
66,9,112,124,22,36,2300,2727,6,100,190,-58,5746,1021.849012606344,409.0241435772,370.482428571039,0.21599999999999997,3.5999999999999996,2,4
60,5,150,122,21,36,2300,3030,11,105,182,-62,5767,1025.583580873788,409.0241435772,411.64714285671005,0.39599999999999996,3.78,2,4
58,3,189,122,22,36,2300,3108,6,104,180,-64,5789,1029.495985725396,409.0241435772,422.243999999556,0.21599999999999997,3.7439999999999998,2,4
52,3,227,125,22,36,2300,3108,13,98,177,-73,5811,1033.408390577004,409.0241435772,422.243999999556,0.46799999999999997,3.5279999999999996,2,4
42,3,272,129,22,36,2300,3108,18,94,171,-87,5833,1037.320795428612,409.0241435772,422.243999999556,0.6479999999999999,3.384,2,4
31,4,322,129,22,36,2300,3108,26,87,160,-98,5855,1041.23320028022,409.0241435772,422.243999999556,0.9359999999999999,3.1319999999999997,2,4
23,4,375,127,23,36,2300,3108,27,79,150,-104,5878,1045.323441715992,409.0241435772,422.243999999556,0.972,2.844,2,4
15,5,452,120,23,36,2300,3108,28,78,135,-105,5901,1049.413683151764,409.0241435772,422.243999999556,1.008,2.808,2,4
10,6,532,111,21,36,2300,3108,36,86,121,-101,5922,1053.148251419208,409.0241435772,422.243999999556,1.2959999999999998,3.0959999999999996,2,4
6,3,535,101,23,36,2300,3108,27,82,107,-95,5945,1057.23849285498,409.0241435772,422.243999999556,0.972,2.952,2,4
