Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
59,63,7,52,22,2,2000,0,31,28,111,7,1860,330.77604654504,355.673168328,0.0,1.1159999999999999,1.008,0,2
64,65,4,55,20,2,2000,-303,40,33,119,9,1880,334.33277822832,355.673168328,-41.164714285671,1.44,1.188,0,2
66,61,5,57,18,2,2000,-606,57,31,123,9,1898,337.533836743272,355.673168328,-82.329428571342,2.052,1.1159999999999999,0,2
69,62,6,59,19,2,2000,-909,62,20,128,10,1917,340.912731842388,355.673168328,-123.49414285701302,2.2319999999999998,0.72,0,2
74,62,5,61,19,2,2000,-1212,74,10,135,13,1936,344.291626941504,355.673168328,-164.658857142684,2.6639999999999997,0.36,0,2
81,56,6,61,17,2,2000,-1515,92,8,142,20,1953,347.314848872292,355.673168328,-205.82357142835502,3.312,0.288,0,2
93,55,8,59,17,2,2000,-1818,97,6,152,34,1970,350.33807080308,355.673168328,-246.98828571402603,3.4919999999999995,0.21599999999999997,0,2
111,64,8,56,18,2,2000,-2121,99,0,167,55,1988,353.539129318032,355.673168328,-288.15299999969704,3.5639999999999996,0.0,0,2
129,67,9,47,18,2,2000,-2424,99,2,176,82,2006,356.740187832984,355.673168328,-329.317714285368,3.5639999999999996,0.072,0,2
137,66,8,30,18,2,2000,-2727,98,6,167,107,2024,359.941246347936,355.673168328,-370.482428571039,3.5279999999999996,0.21599999999999997,0,2
127,83,9,8,18,2,2000,-3030,100,6,135,119,2042,363.142304862888,355.673168328,-411.64714285671005,3.5999999999999996,0.21599999999999997,0,2
118,99,2,4,19,2,2000,-3108,93,7,122,114,2061,366.521199962004,355.673168328,-422.243999999556,3.348,0.252,0,2
118,121,2,4,18,2,2000,-3108,90,19,122,114,2079,369.722258476956,355.673168328,-422.243999999556,3.2399999999999998,0.6839999999999999,0,2
118,144,2,4,20,2,2000,-3108,79,17,122,114,2099,373.278990160236,355.673168328,-422.243999999556,2.844,0.612,0,2
116,165,2,3,21,2,2000,-3108,74,14,119,113,2120,377.01355842768,355.673168328,-422.243999999556,2.6639999999999997,0.504,0,2
115,193,2,5,19,2,2000,-3108,79,23,120,110,2139,380.392453526796,355.673168328,-422.243999999556,2.844,0.828,0,2
106,241,1,6,20,2,2000,-3108,78,17,112,100,2159,383.949185210076,355.673168328,-422.243999999556,2.808,0.612,0,2
99,294,1,8,20,2,2000,-3108,78,18,107,91,2179,387.505916893356,355.673168328,-422.243999999556,2.808,0.6479999999999999,0,2
86,285,1,7,19,2,2000,-3108,84,20,93,79,2198,390.884811992472,355.673168328,-422.243999999556,3.0239999999999996,0.72,0,2
