Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
2,102,133,4,14,0,1400,0,39,31,6,-2,618,109.903009013352,248.9712178296,0.0,1.404,1.1159999999999999,0,0
4,101,131,4,14,0,1400,0,36,34,8,0,632,112.392721191648,248.9712178296,0.0,1.2959999999999998,1.224,0,0
4,103,133,4,14,0,1400,0,35,35,8,0,646,114.882433369944,248.9712178296,0.0,1.26,1.26,0,0
4,100,134,4,14,0,1400,0,35,35,8,0,660,117.37214554824,248.9712178296,0.0,1.26,1.26,0,0
3,98,132,5,14,0,1400,0,35,35,8,-2,674,119.861857726536,248.9712178296,0.0,1.26,1.26,0,0
4,100,133,5,14,0,1400,0,35,35,9,-1,688,122.351569904832,248.9712178296,0.0,1.26,1.26,0,0
3,97,132,5,15,0,1400,0,31,31,8,-2,703,125.019118667292,248.9712178296,0.0,1.1159999999999999,1.1159999999999999,0,0
4,101,135,6,14,1,1400,0,31,38,10,-2,717,127.508830845588,248.9712178296,0.0,1.1159999999999999,1.3679999999999999,0,1
5,98,131,6,13,1,1400,0,37,40,11,-1,730,129.82070643972,248.9712178296,0.0,1.3319999999999999,1.44,0,1
4,98,130,5,14,1,1400,0,35,35,9,-1,744,132.310418618016,248.9712178296,0.0,1.26,1.26,0,1
5,96,129,6,14,1,1400,0,33,37,11,-1,758,134.800130796312,248.9712178296,0.0,1.188,1.3319999999999999,0,1
5,98,127,6,14,1,1400,0,37,33,11,-1,772,137.289842974608,248.9712178296,0.0,1.3319999999999999,1.188,0,1
4,101,127,6,14,1,1400,0,39,31,10,-2,786,139.779555152904,248.9712178296,0.0,1.404,1.1159999999999999,0,1
4,100,128,6,14,1,1400,0,36,34,10,-2,800,142.2692673312,248.9712178296,0.0,1.2959999999999998,1.224,0,1
5,99,126,5,14,1,1400,0,39,31,10,0,814,144.758979509496,248.9712178296,0.0,1.404,1.1159999999999999,0,1
5,99,131,6,14,1,1400,0,36,34,11,-1,828,147.248691687792,248.9712178296,0.0,1.2959999999999998,1.224,0,1
4,98,129,7,14,1,1400,0,35,35,11,-3,842,149.738403866088,248.9712178296,0.0,1.26,1.26,0,1
6,96,131,6,14,1,1400,0,33,37,12,0,856,152.228116044384,248.9712178296,0.0,1.188,1.3319999999999999,0,1
6,97,131,6,14,1,1400,0,31,39,12,0,870,154.71782822268,248.9712178296,0.0,1.1159999999999999,1.404,0,1
7,99,134,7,14,1,1400,0,28,42,14,0,884,157.207540400976,248.9712178296,0.0,1.008,1.5119999999999998,0,1
5,97,130,7,14,1,1400,0,32,38,12,-2,898,159.697252579272,248.9712178296,0.0,1.152,1.3679999999999999,0,1
8,98,129,6,14,1,1400,0,34,36,14,2,912,162.186964757568,248.9712178296,0.0,1.224,1.2959999999999998,0,1
6,97,125,7,14,1,1400,0,35,35,13,-1,926,164.676676935864,248.9712178296,0.0,1.26,1.26,0,1
7,103,124,8,14,1,1400,0,35,35,15,-1,940,167.16638911416,248.9712178296,0.0,1.26,1.26,0,1
7,101,119,8,14,1,1400,0,37,33,15,-1,954,169.656101292456,248.9712178296,0.0,1.3319999999999999,1.188,0,1
6,101,119,8,14,1,1400,0,39,31,14,-2,968,172.145813470752,248.9712178296,0.0,1.404,1.1159999999999999,0,1
7,105,120,8,14,1,1400,0,38,32,15,-1,982,174.635525649048,248.9712178296,0.0,1.3679999999999999,1.152,0,1
8,101,118,8,14,1,1400,0,40,30,16,0,996,177.125237827344,248.9712178296,0.0,1.44,1.0799999999999998,0,1
8,101,119,8,14,1,1400,0,36,34,16,0,1010,179.61495000564,248.9712178296,0.0,1.2959999999999998,1.224,0,1
9,99,118,8,14,1,1400,0,35,35,17,1,1024,182.104662183936,248.9712178296,0.0,1.26,1.26,0,1
8,97,120,8,14,1,1400,0,35,35,16,0,1038,184.594374362232,248.9712178296,0.0,1.26,1.26,0,1
8,97,121,8,14,1,1400,0,31,39,16,0,1052,187.084086540528,248.9712178296,0.0,1.1159999999999999,1.404,0,1
10,98,121,8,14,1,1400,0,30,40,18,2,1066,189.573798718824,248.9712178296,0.0,1.0799999999999998,1.44,0,1
10,97,120,9,14,1,1400,0,32,38,19,1,1080,192.06351089712,248.9712178296,0.0,1.152,1.3679999999999999,0,1
10,97,119,10,14,1,1400,0,36,34,20,0,1094,194.553223075416,248.9712178296,0.0,1.2959999999999998,1.224,0,1
10,97,116,10,14,1,1400,0,35,35,20,0,1108,197.042935253712,248.9712178296,0.0,1.26,1.26,0,1
11,98,111,12,14,1,1400,0,33,37,23,-1,1122,199.532647432008,248.9712178296,0.0,1.188,1.3319999999999999,0,1
